epoch,train_loss,val_loss,val_iou,val_f1
1,2.1942,2.7072,0.4030646991729736,0.11172669990012844
2,1.7857,2.0928,0.5404340660572052,0.20057616464437902
3,1.8132,2.4612,0.5749478018283845,0.2398250472321541
4,1.8233,2.1029,0.5686439073085785,0.27600780068606645
5,1.7527,2.0663,0.6110491621494293,0.2444136464489085
6,1.4492,2.24,0.6236380553245544,0.24988839471705074
7,1.5695,1.9649,0.6073465085029602,0.24675791942264436
8,1.5952,2.3045,0.6270698547363281,0.26449409107309096
9,1.8588,1.5166,0.62667156457901,0.23752394273544983
10,1.4077,1.5791,0.6205104875564575,0.23394593800344204
11,2.1054,1.7856,0.6453194642066955,0.280218863435875
12,1.3945,1.7112,0.643880809545517,0.29509351407809487
13,1.6906,1.6116,0.655290857553482,0.29224078783065105
14,1.43,1.7585,0.6725406348705292,0.24889142876605294
15,1.6407,1.6363,0.654038301706314,0.24524353634023824
16,1.1846,1.8639,0.6670228016376495,0.2463090563180074
17,1.2456,1.5259,0.6281830775737762,0.2704073643532557
18,1.8742,3.2032,0.6645384526252747,0.2847142622261272
19,1.6356,1.66,0.6587651026248932,0.2275892596461512
20,1.4923,1.6457,0.6050291538238526,0.23662855016019502
21,1.2984,1.5861,0.638143265247345,0.26644171280700146
22,1.4242,1.4009,0.6679381942749023,0.24521346581563905
23,1.0743,2.505,0.6635585701465607,0.2824190897597707
24,1.0042,1.9106,0.6732002627849579,0.31657578940925624
25,1.2528,1.5682,0.6483184707164764,0.2604489389045241
